"","E4_fs_E5_fs_G1_fs_G5_fs_G8_fs_G12_fs","E4_fs_E5_fs_G1_fs_G5_fs_G8_fs_NA","E4_fs_E5_fs_G5_fs_G8_fs_G12_fs_NA","E4_fs_G1_fs_G5_fs_G8_fs_G12_fs_NA","E5_fs_G1_fs_G5_fs_G8_fs_G12_fs_NA","E4_fs_E5_fs_G5_fs_G12_fs_NA_NA","E4_fs_G1_fs_G5_fs_G12_fs_NA_NA","E4_fs_G5_fs_G8_fs_G12_fs_NA_NA","E5_fs_G1_fs_G5_fs_G8_fs_NA_NA","E5_fs_G1_fs_G5_fs_G12_fs_NA_NA","G1_fs_G5_fs_G8_fs_G12_fs_NA_NA","E4_fs_E5_fs_G1_fs_NA_NA_NA","E5_fs_G1_fs_G5_fs_NA_NA_NA","E5_fs_G1_fs_G12_fs_NA_NA_NA","E5_fs_G5_fs_G8_fs_NA_NA_NA","E5_fs_G5_fs_G12_fs_NA_NA_NA","E5_fs_G1_fs_NA_NA_NA_NA","E5_fs_G5_fs_NA_NA_NA_NA","E5_fs_G12_fs_NA_NA_NA_NA","G1_fs_G5_fs_NA_NA_NA_NA","G1_fs_G8_fs_NA_NA_NA_NA","G1_fs_G12_fs_NA_NA_NA_NA","G5_fs_G8_fs_NA_NA_NA_NA","G5_fs_G12_fs_NA_NA_NA_NA","G8_fs_G12_fs_NA_NA_NA_NA","E5_fs_NA_NA_NA_NA_NA","G5_fs_NA_NA_NA_NA_NA","G8_fs_NA_NA_NA_NA_NA","G12_fs_NA_NA_NA_NA_NA"
"1","Pdgfrb","Epha4","Ephb3","Rps6ka1","Mapk3","Stk10","Bmpr2","Mast4","Dstyk","Mknk2","Rock2","Ripk2","Prkaa2","Tec","Camk1d","Acvr1b","Ephb2","Ddr1","Camk2a","Cdk6","Clk1","Hck","Csnk1e","Camk2d","Mapk7","Fgfr1","Aurka","Bmpr1a","Fyn"
"2","Rps6ka6","Fgfr2",NA,NA,NA,NA,NA,NA,"Ephb4",NA,NA,NA,NA,NA,"Irak4","Cdk14",NA,"Fer","Stk11","Nme4",NA,NA,"Pfkl",NA,NA,"Gsk3b","Axl","Clk4","Lats1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,"Ilk",NA,NA,NA,NA,NA,"Prkaca","Map4k4",NA,"Fn3k",NA,"Riok2",NA,NA,"Pip4k2b",NA,NA,"Mapk10","Bub1b","Csk",NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Igf1r",NA,NA,NA,NA,"Rock1",NA,NA,"Phkg2","Cdk13","Csnk2a1",NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insr",NA,NA,NA,NA,"Srpk1",NA,NA,"Pik3r4","Cdk5","Frk",NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mapk14",NA,NA,NA,NA,NA,NA,NA,"Tnik","Chek1","Map4k5",NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pip4k2c",NA,NA,NA,NA,NA,NA,NA,NA,"Chek2","Mapk8",NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prkdc",NA,NA,NA,NA,NA,NA,NA,NA,"Chka","Mark2",NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slk",NA,NA,NA,NA,NA,NA,NA,NA,"Clk3","Peak1",NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taok3",NA,NA,NA,NA,NA,NA,NA,NA,"Dck","Prkd3",NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egfr","Ulk1",NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epha2",NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fn3krp",NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikbke",NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jak1",NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrk2",NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lyn",NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Map2k4",NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mapk1",NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mapk15",NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mark3",NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melk",NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nek3",NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nek9",NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pikfyve",NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plk4",NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prkaa1",NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prkacb",NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prkce",NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps6kc1",NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stk38",NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stk38l",NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tesk1",NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tnk2",NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ttk",NA,NA
